symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
TBPL1,8.4532,8.4099,8.5878,8.9328,8.8362,8.9157
TBRG1,9.0378,9.142,9.0048,9.6131,9.4525,9.589
TBRG4,9.6385,9.5725,9.7284,9.6744,9.5901,9.719
TBX18,3.5242,4.4952,4.2989,3.8708,3.276,3.6977
TBX19,2.9547,4.0956,4.0178,4.6587,3.9423,3.8686
TBX2,11.4942,11.5427,11.6482,12.6504,12.6177,12.7705
TBX22,4.5086,4.4952,4.8276,4.6587,4.7413,5.1952
TBX3,10.663,10.6707,10.5575,11.6046,11.542,11.7212
TBX5,8.4938,8.4733,8.6201,8.7842,8.8687,8.8355
TBXA2R,5.8835,6.0957,6.0027,5.2075,5.4215,5.0954
TBXAS1,8.237,7.8653,8.1077,10.0721,9.9383,10.1902
TCAF1,11.3195,11.2883,11.2569,11.2709,11.3883,11.2857
TCAF2,6.1608,6.1849,6.4246,5.6658,5.8819,5.914
TCAIM,8.5235,8.3819,8.458,7.8279,7.782,7.9444
TCEA1,10.9359,10.9227,10.9043,9.882,9.9782,9.9121
TCEA2,7.9168,8.1466,7.8865,8.7842,8.7719,8.7533
TCEA3,5.8526,5.8986,6.0027,4.1552,4.5791,4.7466
TCEAL1,7.4847,7.4084,7.1285,7.3526,7.5389,7.6068
TCEAL3,8.9198,8.8529,8.763,8.4707,8.5528,8.4238
TCEAL4,9.8778,9.8449,9.715,10.0778,9.9809,10.0395
TCEAL7,6.9696,7.2519,7.1375,7.6018,7.4789,7.7612
TCEAL8,9.6271,9.7085,9.5869,8.4223,8.527,8.3856
TCEAL9,10.8844,11.0092,10.9076,11.6275,11.6696,11.6848
TCEANC2,7.9093,7.9118,7.6629,7.6485,7.679,7.5946
TCERG1,9.9194,9.9679,9.9694,9.5914,9.6945,9.7548
TCF12,11.3188,11.2213,11.2574,10.5224,10.6276,10.5659
TCF20,6.9839,7.0289,6.9969,7.016,6.8909,7.0807
TCF21,8.3352,8.2639,8.2753,9.3519,9.2629,9.2818
TCF25,11.0313,11.0244,10.9914,11.1061,11.1119,11.1535
TCF3,10.8583,10.8998,10.9665,11.0907,11.0168,11.0755
TCF4,10.1289,10.0827,10.0368,10.1197,10.1838,10.2201
TCF7L1,8.3954,8.5083,8.5976,8.3815,8.2634,8.4543
TCF7L2,8.3519,8.2893,8.3809,8.2717,8.2723,8.2873
TCFL5,7.3911,7.4268,7.5264,7.1078,7.2284,7.1403
TCHP,8.1759,8.4099,8.2995,7.5939,7.6315,7.7059
TCIM,5.1404,5.2415,5.3119,7.2656,7.1047,7.3424
TCN2,6.0288,5.9757,6.3025,6.8263,6.9363,6.7054
TCOF1,10.3497,10.318,10.4073,9.6986,9.6095,9.6779
