"Term","GO","id","level"
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","biological_process","GO:0006977",8
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","biological_process","GO:0006977",11
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","biological_process","GO:0006978",9
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","biological_process","GO:0006978",8
"response to oxidative stress","biological_process","GO:0006979",4
"obsolete activation of SoxR protein","biological_process","GO:0006981",5
"response to lipid hydroperoxide","biological_process","GO:0006982",6
"ER overload response","biological_process","GO:0006983",7
"ER overload response","biological_process","GO:0006983",6
"ER-nucleus signaling pathway","biological_process","GO:0006984",6
"ER-nucleus signaling pathway","biological_process","GO:0006984",5
"response to unfolded protein","biological_process","GO:0006986",5
"obsolete activation of signaling protein activity involved in unfolded protein response","biological_process","GO:0006987",7
"obsolete activation of signaling protein activity involved in unfolded protein response","biological_process","GO:0006987",6
"obsolete unfolded protein response, cleavage of primary transcript encoding UFP-specific transcription factor","biological_process","GO:0006988",NA
"obsolete unfolded protein response, ligation of mRNA encoding UFP-specific transcription factor by RNA ligase","biological_process","GO:0006989",NA
"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response","biological_process","GO:0006990",6
"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response","biological_process","GO:0006990",9
"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response","biological_process","GO:0006990",10
"positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response","biological_process","GO:0006990",11
"response to sterol depletion","biological_process","GO:0006991",4
"cellular response to nitrogen starvation","biological_process","GO:0006995",6
"organelle organization","biological_process","GO:0006996",4
"nucleus organization","biological_process","GO:0006997",5
"nuclear envelope organization","biological_process","GO:0006998",5
"nuclear envelope organization","biological_process","GO:0006998",6
"nuclear pore organization","biological_process","GO:0006999",6
"nucleolus organization","biological_process","GO:0007000",6
"obsolete centromere binding","biological_process","GO:0007002",NA
"obsolete telomere binding","biological_process","GO:0007003",NA
"telomere maintenance via telomerase","biological_process","GO:0007004",8
"mitochondrion organization","biological_process","GO:0007005",5
"mitochondrial membrane organization","biological_process","GO:0007006",6
"inner mitochondrial membrane organization","biological_process","GO:0007007",7
"outer mitochondrial membrane organization","biological_process","GO:0007008",7
"plasma membrane organization","biological_process","GO:0007009",5
"cytoskeleton organization","biological_process","GO:0007010",5
"obsolete regulation of cytoskeleton","biological_process","GO:0007011",NA
"actin ubiquitination","biological_process","GO:0007014",5
"actin filament organization","biological_process","GO:0007015",4
"actin filament organization","biological_process","GO:0007015",7
"obsolete cytoskeletal anchoring at plasma membrane","biological_process","GO:0007016",7
"obsolete cytoskeletal anchoring at plasma membrane","biological_process","GO:0007016",6
"microtubule-based process","biological_process","GO:0007017",4
"microtubule-based movement","biological_process","GO:0007018",5
"microtubule depolymerization","biological_process","GO:0007019",7
"microtubule nucleation","biological_process","GO:0007020",8
"microtubule nucleation","biological_process","GO:0007020",6
"tubulin complex assembly","biological_process","GO:0007021",8
"post-chaperonin tubulin folding pathway","biological_process","GO:0007023",4
"negative regulation of microtubule depolymerization","biological_process","GO:0007026",8
