,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  GM8600,0,0,0,0,0,0,0,0,0,0,0,0
  GM8601,14,16,1,6,5,2,5,1,14,10,4,8
  GM8602,1,0,0,1,0,0,0,0,1,0,0,0
  GM8603,0,0,0,0,0,0,0,0,0,0,0,0
  GM8604,0,0,0,0,0,0,0,0,0,0,0,0
  GM8606,17,4,11,14,10,7,4,9,12,8,11,6
  GM8609,0,0,1,0,0,0,0,0,0,0,0,1
  GM8614,0,0,0,0,1,1,0,0,0,0,0,0
  GM8615,33,19,29,33,21,11,14,30,33,47,31,47
  GM8617,0,0,0,1,4,1,1,0,0,0,0,0
  GM8618,19,9,9,16,8,13,4,3,13,7,6,5
  GM8623,11,11,6,2,4,4,4,8,13,6,2,13
  GM8624,12,11,18,19,41,23,12,16,15,17,18,17
  GM8625,0,1,2,1,3,5,1,0,0,1,1,1
  GM8641,0,1,2,3,2,3,0,3,1,2,2,0
  GM8643,9,10,5,10,5,4,3,5,6,6,8,5
  GM8644,0,0,0,0,0,0,0,0,0,0,0,0
  GM8648,1,1,1,2,5,5,2,2,1,6,3,3
  GM8649,1,1,3,0,2,0,0,0,0,0,2,0
  GM8652,2,1,2,9,7,3,4,7,4,2,4,2
  GM8653,0,0,0,0,0,0,0,1,0,0,0,0
  GM8659,2,1,1,1,1,2,0,0,0,4,1,0
  GM8660,0,0,0,0,0,0,0,0,0,0,0,0
  GM8661,0,0,1,0,0,3,0,1,0,0,0,0
  GM8662,17,15,14,13,11,4,6,16,19,19,4,6
  GM8666,1,0,0,3,1,0,0,0,0,0,1,0
  GM8668,3,1,1,3,3,1,5,4,2,1,4,2
  GM8669,0,0,0,0,0,0,0,0,0,0,1,0
  GM8674,0,0,0,0,1,6,0,0,0,0,0,0
  GM8676,0,0,0,0,0,2,0,0,0,0,1,0
  GM8677,0,0,0,0,1,1,0,0,0,0,0,0
  GM8682,1,1,0,5,2,3,3,4,7,2,2,1
  GM8684,0,0,3,1,0,2,0,0,0,1,0,0
  GM8685,0,0,0,0,0,0,0,0,0,0,0,0
  GM8686,0,0,0,0,1,1,2,1,0,1,0,0
  GM8688,0,0,0,0,1,0,0,0,0,0,0,0
  GM8692,9,6,6,6,7,5,3,5,2,1,0,0
  GM8693,0,0,0,0,0,2,0,0,0,0,0,0
  GM8696,1,0,3,3,2,1,0,0,0,1,1,0
  GM8701,0,0,0,0,0,0,0,2,0,0,0,0
  GM8703,0,0,0,0,1,2,0,0,0,0,0,0
  GM8704,0,0,0,1,0,0,0,1,0,0,0,1
  GM8706,0,0,0,1,8,7,0,0,1,0,0,0
  GM8707,1,0,0,0,0,1,1,0,0,0,0,0
  GM8708,0,0,0,0,0,0,0,0,0,0,0,0
  GM8709,1,1,0,0,1,1,0,0,0,0,0,0
  GM8711,0,4,2,0,6,8,0,0,0,0,0,0
  GM8715,0,0,0,0,2,1,0,1,0,0,0,0
  GM8719,0,3,10,5,0,0,1,2,2,2,2,0
  GM8720,0,0,0,0,0,1,0,0,0,0,0,0
  GM8722,9,6,5,4,3,4,5,7,7,8,4,11
  GM8723,0,0,0,0,0,0,0,2,0,0,0,0
  GM8724,13,11,8,8,17,10,2,5,14,16,13,12
  GM8728,0,0,0,0,0,0,0,0,0,0,0,0
  GM8730,29,13,38,28,22,17,10,24,27,16,15,19
  GM8731,22,34,29,50,14,12,20,25,19,16,15,26
  GM8737,0,0,0,0,0,0,0,0,0,0,0,0
  GM8738,86,69,41,40,50,52,68,83,76,79,49,109
  GM8741,0,0,6,0,0,0,0,0,0,0,0,0
  GM8744,10,13,6,12,16,19,3,5,8,13,7,3
  GM8745,0,0,0,0,1,3,1,0,0,0,0,0
  GM8747,0,0,0,0,3,0,0,0,0,0,0,0
  GM8749,0,0,0,0,0,2,0,0,0,0,0,0
  GM8750,17,8,45,105,39,26,41,38,45,53,0,0
  GM8752,44,56,132,123,197,263,103,68,106,88,70,99
  GM8754,1,0,0,0,0,0,0,0,0,0,0,0
  GM8756,3,2,0,4,2,2,0,0,5,3,5,2
  GM8757,4,4,3,3,0,1,0,2,6,4,2,1
  GM8761,0,0,0,0,0,0,0,0,0,1,0,0
  GM8762,1,0,1,1,0,1,2,3,0,0,0,1
  GM8764,1,1,1,0,2,3,0,1,1,0,1,1
  GM8765,0,0,0,0,6,0,0,1,0,0,0,0
  GM8770,1,0,2,1,9,18,10,9,0,1,3,1
  GM8773,0,0,1,0,1,1,0,1,0,0,0,0
  GM8774,493,414,1046,945,996,768,1826,1618,494,394,285,412
  GM8775,0,3,3,2,2,0,2,0,11,2,0,2
  GM8778,4,1,1,4,5,5,4,8,4,1,3,1
  GM8783,27,13,50,26,57,56,64,207,43,26,21,49
  GM8790,0,0,0,0,0,4,0,0,0,1,0,0
  GM8793,0,0,0,0,2,0,0,0,0,1,0,0
  GM8797,8,17,9,18,22,7,17,1068,18,7,15,12
  GM8801,3,6,9,15,6,9,9,6,2,2,3,11
  GM8802,0,0,0,0,0,0,0,0,0,0,1,0
  GM8805,6,3,11,8,4,6,6,18,6,2,3,6
  GM8806,13,4,12,18,4,12,6,10,11,18,5,13
  GM8807,32,31,29,29,19,20,9,19,38,34,27,33
  GM8809,16,14,9,17,10,20,14,17,25,10,18,9
  GM8810,1,1,1,1,2,1,0,0,5,0,2,1
  GM8812,0,2,0,0,0,0,0,1,1,0,2,0
  GM8813,43,47,24,39,31,36,25,28,48,56,39,60
  GM8814,11,12,5,11,8,11,9,6,13,12,8,13
  GM8815,0,2,1,2,3,2,0,1,1,2,0,0
  GM8816,3,0,0,0,0,0,0,0,1,0,1,0
  GM8818,57,46,19,21,69,60,90,97,64,58,29,69
  GM8820,0,0,0,0,1,2,0,0,0,0,1,0
  GM8822,26,36,36,23,14,9,7,14,31,28,13,24
  GM8823,8,1,4,11,3,6,5,4,4,2,1,1
  GM8824,2,1,0,0,0,4,1,2,0,2,2,0
  GM8825,1,1,1,1,1,4,0,0,2,3,0,1
  GM8826,0,0,0,0,0,1,0,0,0,1,0,0
  GM8828,12,28,8,10,1,0,4,0,7,10,5,11
  GM8832,2,0,3,6,2,4,3,2,3,6,2,1
  GM8835,0,1,4,1,2,6,2,6,5,1,1,4
  GM8836,0,10,11,13,2,3,0,5,10,7,3,3
  GM8837,0,0,0,1,1,3,1,0,1,3,0,1
  GM8839,159,146,103,99,117,109,82,93,149,145,103,172
  GM884,0,0,0,1,17,23,1,1,0,0,0,1
  GM8840,2,3,2,6,4,7,1,7,10,1,2,0
  GM8844,43,31,30,29,38,31,31,21,32,34,29,45
  GM8848,72,93,22,33,10,4,6,10,45,51,38,65
  GM8849,0,1,0,0,0,0,0,0,0,0,0,0
  GM8850,56,53,47,65,61,61,42,53,55,65,42,68
  GM8853,6,1,2,2,2,2,3,2,11,2,4,6
  GM8855,0,0,2,0,0,2,0,0,0,0,0,0
  GM8856,2,1,2,0,1,2,0,0,1,0,1,1
  GM8857,0,0,2,0,0,4,2,2,3,3,3,0
  GM8858,2,1,2,1,2,3,0,0,2,3,4,0
  GM8860,2,0,3,2,4,2,2,0,0,6,1,0
  GM8861,0,0,0,0,0,1,0,0,0,0,0,0
  GM8862,1,3,8,10,7,9,12,14,5,5,3,2
  GM8864,4,2,1,5,1,2,0,4,4,4,1,3
  GM8865,3,1,1,4,4,2,3,0,1,3,3,0
  GM8868,0,0,0,0,1,0,0,0,0,0,0,0
  GM8869,0,1,0,1,2,1,0,0,1,0,0,1
  GM8870,2,3,4,1,6,2,4,8,0,5,1,3
  GM8871,0,0,1,0,0,3,0,0,2,2,0,0
  GM8872,0,0,0,1,2,2,1,1,2,2,0,3
  GM8874,0,0,0,0,0,0,1,0,0,2,0,1
  GM8876,1,1,3,0,1,0,0,1,2,0,0,1
  GM8877,0,0,0,0,0,0,0,0,0,0,0,0
  GM8878,0,0,0,0,0,0,0,0,0,0,0,0
  GM8879,5,0,0,0,0,3,0,7,2,0,11,0
  GM8880,3,10,6,8,5,3,3,2,4,3,8,1
  GM8882,1,0,0,0,2,0,0,0,0,0,0,0
  GM8885,3,4,8,5,5,2,3,4,10,3,5,2
  GM8888,4,3,8,6,7,1,3,2,2,5,2,3
  GM8890,4,0,3,3,10,15,2,11,13,6,9,0
  GM8891,0,0,0,0,0,0,0,0,0,0,0,0
  GM8893,4,2,0,0,8,2,0,0,0,0,1,0
  GM8894,2,3,3,1,3,1,1,0,2,1,0,1
  GM8895,0,0,0,0,2,0,0,0,0,0,0,0
  GM8896,1,1,1,0,1,3,0,0,0,0,0,0
  GM8897,0,4,0,0,4,9,0,3,2,0,0,2
  GM8898,1469,1352,2004,1648,596,438,931,933,1792,1610,1242,1183
  GM8902,0,1,2,0,0,0,0,0,1,0,0,2
  GM8906,0,0,0,0,2,2,0,0,0,2,0,0
  GM8907,0,0,0,0,1,2,0,0,0,0,0,0
  GM8908,0,0,0,0,0,0,0,1,0,0,0,0
  GM8909,25,27,24,15,21,17,18,24,25,38,17,15
  GM8914,0,0,0,0,2,0,0,0,0,0,0,0
  GM8916,0,0,0,0,0,1,0,0,0,0,0,0
  GM8918,1,2,1,0,3,0,1,0,2,2,0,0
  GM8919,0,0,0,1,0,1,0,1,0,0,0,0
  GM8920,0,0,1,0,0,4,0,0,0,0,0,1
  GM8921,0,0,0,0,0,0,0,0,1,1,0,0
  GM8922,1,0,6,2,9,11,2,7,0,0,4,0
  GM8923,240,229,262,243,83,53,162,137,216,192,204,189
  GM8924,0,0,0,0,4,0,0,4,0,0,1,0
  GM8925,14,5,16,20,10,13,6,14,18,13,16,6
  GM8926,1,0,3,0,1,1,0,1,2,1,0,0
  GM8927,0,0,2,1,3,3,0,0,2,1,1,1
  GM8929,0,0,0,0,0,0,0,0,1,0,0,0
  GM8930,0,0,0,0,0,0,0,0,0,1,0,0
  GM8935,35,78,337,225,62,76,130,110,150,36,107,50
  GM8939,0,0,0,0,1,1,0,0,0,0,0,0
  GM8941,1,0,0,2,5,2,1,3,0,1,1,0
  GM8952,0,0,1,0,2,1,0,0,1,1,0,0
  GM8955,1,0,0,0,0,0,0,1,0,0,0,0
  GM8956,557,527,307,623,684,740,346,637,570,521,368,632
  GM8957,0,0,0,0,0,1,0,0,0,0,0,0
  GM8964,5,4,13,6,5,2,4,5,9,5,2,2
  GM8968,0,0,0,0,1,2,0,0,0,0,0,0
  GM8969,0,0,0,0,1,2,0,0,1,0,2,1
  GM8973,4,1,2,2,0,1,0,1,1,7,0,0
  GM8974,23,28,18,27,19,20,17,24,20,29,18,32
  GM8976,3,2,2,2,1,3,1,4,3,3,0,0
  GM8979,220,209,70,157,128,83,74,64,269,229,204,116
  GM8980,0,0,0,0,0,0,1,0,0,0,0,0
  GM8982,7,0,1,1,3,2,0,2,6,7,4,0
  GM8984,0,0,2,1,2,2,1,4,1,0,2,0
  GM8988,1,0,0,0,0,1,0,0,0,0,0,0
  GM8989,39,101,44,74,33,32,44,48,97,67,53,53
  GM8991,2,7,3,5,7,0,4,6,0,14,2,5
  GM8992,0,0,0,0,0,1,0,0,0,0,0,0
  GM8993,0,0,0,0,1,0,0,0,0,0,0,0
  GM8994,67,66,23,29,24,13,14,19,57,71,41,74
  GM8995,33428,30745,16073,17642,9363,6702,8990,9743,41210,36106,26838,28845
  GM8999,0,0,0,1,3,3,0,1,0,0,0,1
  GM9,0,0,0,0,1,1,0,0,0,0,0,0
  GM9001,0,0,0,0,0,0,0,0,0,0,0,0
  GM9002,1,4,0,2,2,2,2,1,4,3,4,1
  GM9003,4,3,5,9,16,13,21,22,4,7,4,7
  GM9005,1,2,2,0,3,0,1,0,0,1,2,0
  GM9006,47,59,15,41,510,485,26,61,62,48,48,73
  GM9008,2,2,0,2,2,9,0,4,0,2,0,2
  GM9009,5,7,19,9,11,14,9,8,8,5,5,3
  GM9013,22,9,37,20,10,14,18,8,19,8,11,13
  GM9022,12,12,3,5,5,3,6,7,7,11,12,9
  GM9023,0,0,0,0,0,0,0,1,0,0,0,0
  GM9025,71,63,14,30,28,20,29,49,38,56,48,71
  GM9027,48,27,68,24,4,9,12,28,45,66,20,30
  GM9034,7,3,2,6,1,3,1,2,4,3,3,1
  GM9038,0,0,0,0,0,1,0,0,0,0,0,0
  GM904,0,0,0,0,24,40,0,1,0,0,1,1
  GM9040,0,2,0,1,0,3,1,0,0,1,0,0
  GM9043,0,0,0,0,1,2,0,0,1,0,1,0
  GM9044,0,2,0,1,0,3,1,0,0,1,0,0
  GM9045,2,0,0,0,0,0,0,1,1,0,2,1
  GM9046,0,0,0,0,0,0,0,0,0,0,0,0
  GM9047,25,22,20,22,16,12,18,20,26,20,18,20
  GM9048,0,0,0,0,11,5,0,0,0,0,0,0
  GM9049,2,0,0,0,0,0,0,1,1,0,2,1
  GM9050,0,0,0,1,0,1,1,0,0,0,0,0
  GM9051,0,0,0,2,2,4,0,0,1,0,0,0
  GM9057,18,15,23,25,24,15,19,37,27,22,6,13
  GM9059,0,0,0,0,1,2,0,0,0,0,0,0
  GM906,0,0,0,0,6,14,0,1,0,0,0,0
  GM9060,1,0,0,1,2,2,1,2,0,0,0,0
  GM9061,1,0,2,1,0,1,0,0,0,0,0,0
  GM9062,0,0,0,0,2,2,0,0,0,0,0,0
  GM9064,8,6,10,11,1,4,4,2,13,1,7,4
  GM9071,0,0,0,0,0,4,0,0,0,0,0,0
  GM9075,0,0,0,0,0,1,0,0,0,0,0,0
  GM9078,5,3,3,9,19,15,5,3,3,6,7,1
  GM9081,0,2,0,0,4,0,0,0,0,0,1,0
  GM9083,278,205,115,113,70,57,107,133,195,222,200,343
  GM9085,83,82,85,142,78,54,51,60,94,107,65,108
  GM9089,0,0,2,1,1,4,0,0,0,1,0,1
  GM9095,2,2,2,2,3,1,1,1,2,1,3,1
  GM9097,8,9,9,10,15,6,4,7,11,8,14,7
  GM9103,0,0,4,2,5,2,1,1,1,0,0,3
  GM9104,9,12,10,20,14,7,3,6,14,9,4,11
  GM9105,0,0,2,1,1,2,1,0,1,0,1,0
  GM9109,0,0,0,0,2,4,0,0,0,0,0,0
  GM9112,0,0,0,0,0,1,0,0,0,0,0,0
  GM9113,0,0,0,0,3,1,0,0,0,0,0,0
  GM9114,2,0,1,4,0,4,1,0,3,3,0,2
  GM9115,0,1,13,4,3,4,3,2,3,0,2,1
  GM9116,0,0,0,0,0,0,0,0,0,0,0,0
  GM9117,0,0,0,0,0,1,0,0,0,0,0,0
  GM9119,0,0,0,0,1,0,0,0,0,0,0,0
  GM9120,1,1,1,2,9,2,1,1,0,1,0,0
  GM9121,0,0,0,0,5,0,0,0,0,0,0,0
  GM9124,0,0,0,0,0,0,0,0,0,0,0,0
  GM9125,0,0,0,0,2,4,0,2,0,0,0,0
  GM9126,0,0,0,0,0,1,0,0,0,0,0,0
  GM9127,1,0,0,0,0,0,0,0,0,0,0,1
  GM9131,0,0,0,0,0,0,0,0,0,0,0,0
  GM9133,0,0,0,0,0,0,0,0,0,0,0,0
  GM9134,0,0,2,1,1,1,1,2,0,1,0,0
  GM9135,0,0,0,1,1,0,0,0,0,3,2,1
  GM9136,2,0,3,2,2,0,1,1,0,0,0,1
  GM9141,0,0,1,0,0,1,0,1,0,0,0,0
  GM9142,2,1,2,3,3,0,0,1,2,0,0,0
  GM9143,9,12,14,13,7,8,2,5,19,7,11,5
  GM9144,2,3,2,4,2,0,0,0,0,0,0,0
  GM9146,0,1,0,0,6,0,0,0,0,0,0,0
  GM9149,0,0,0,0,0,0,0,0,0,0,0,0
  GM9156,0,0,0,0,0,0,0,0,0,0,0,0
  GM9157,6,3,9,17,6,7,5,9,1,2,1,11
  GM9159,78,71,40,48,27,24,33,31,88,92,70,115
  GM9162,0,0,4,0,0,0,0,0,0,1,0,0
  GM9164,0,0,1,1,2,2,1,0,3,2,1,0
  GM9165,0,0,0,0,1,2,0,0,0,0,0,0
  GM9166,3,0,5,2,2,1,2,2,0,2,2,0
  GM9167,0,0,0,0,0,0,0,0,0,0,1,0
  GM9169,6,3,11,9,11,20,3,12,0,3,0,0
  GM9173,0,1,1,1,0,0,0,0,1,0,0,0
  GM9174,0,3,0,0,0,0,0,0,0,0,0,0
  GM9192,0,1,0,0,0,1,0,0,0,0,0,0
  GM9195,0,0,0,3,9,15,0,0,1,0,0,0
  GM9200,19,14,4,0,0,2,2,1,10,21,3,16
  GM9207,4,3,0,0,4,3,1,0,0,0,2,0
  GM9208,378,308,135,235,110,69,95,108,308,343,233,336
  GM9211,0,0,3,0,1,1,0,0,1,0,2,0
  GM9218,3,1,1,9,12,14,2,7,3,7,5,5
  GM9220,2,2,0,0,5,5,0,0,0,0,0,0
  GM9225,0,0,0,1,0,0,0,0,0,0,0,0
  GM9226,0,0,0,0,2,21,0,0,0,0,0,0
  GM9227,1,1,0,1,2,5,0,1,4,1,2,1
  GM9230,0,0,0,0,0,1,0,0,0,0,0,0
  GM9234,11,18,22,24,12,16,11,11,18,15,16,5
  GM9236,8,7,3,4,4,7,1,1,5,8,1,6
  GM9238,3,4,1,0,0,0,2,1,0,2,2,1
  GM9239,0,0,0,0,5,2,0,0,0,0,0,0
  GM9240,0,0,0,1,0,2,0,2,0,1,0,0
  GM9242,0,0,0,0,0,15,0,0,5,0,0,12
  GM9244,0,0,0,0,3,5,0,0,0,0,1,0
  GM9245,0,0,0,1,1,1,0,0,0,0,0,0
  GM9246,19,25,8,14,28,23,8,11,22,33,11,32
  GM9251,0,0,0,0,0,0,0,0,0,0,1,0
  GM9252,2,0,2,3,5,1,0,1,3,3,0,0
  GM9256,2,0,0,4,4,3,6,0,0,2,0,0
  GM9257,1,0,0,0,0,0,0,0,1,0,0,0
  GM9260,2,1,5,4,8,4,3,9,1,1,2,1
  GM9266,0,0,0,1,0,2,0,2,0,0,0,0
  GM9268,0,0,0,0,0,6,0,0,0,0,0,0
  GM9271,0,0,0,0,8,9,0,4,0,0,0,0
  GM9273,0,0,7,3,7,11,1,6,1,0,0,1
  GM9274,0,0,0,0,1,0,1,0,1,0,1,0
  GM9278,0,0,0,0,1,0,0,0,0,0,0,0
  GM9285,4,0,3,4,6,4,1,0,2,2,0,0
  GM9286,0,1,0,0,1,4,0,0,0,0,0,0
  GM9294,10,6,20,7,5,3,3,8,11,9,8,12
  GM9299,0,0,0,0,0,5,0,0,0,0,0,0
  GM9308,1,0,2,2,2,1,0,0,1,0,4,0
  GM9311,160,142,57,83,48,46,58,65,127,118,96,161
  GM9312,2,0,4,1,0,1,1,2,1,0,0,0
  GM9314,2,5,0,1,4,5,2,1,9,4,2,2
  GM9317,0,0,0,0,0,1,0,0,0,0,0,0
  GM9320,52,56,48,65,49,48,39,30,48,64,43,51
  GM9322,0,0,0,0,0,0,0,0,0,0,0,0
  GM933,0,0,0,2,2,1,0,0,0,0,0,0
  GM9332,8,6,7,7,6,2,4,6,14,10,4,8
  GM9333,1,0,1,1,3,1,0,0,2,0,1,1
  GM9341,1,0,0,1,0,0,0,1,1,0,0,0
  GM9343,0,0,0,0,4,0,0,0,0,0,0,0
  GM9353,1,0,0,3,1,1,0,1,3,3,1,0
  GM9354,8,12,13,9,4,3,3,3,7,10,4,6
  GM9357,0,0,0,0,1,0,0,0,0,0,0,0
  GM9358,4,2,4,3,0,3,0,2,3,6,4,4
  GM9359,0,0,0,1,3,0,0,0,0,0,0,0
  GM9361,0,0,0,0,0,0,0,0,0,0,0,0
  GM9364,0,1,0,3,0,0,0,0,0,1,0,0
  GM9367,3,4,7,5,5,5,2,2,2,6,7,2
  GM9369,6,7,8,12,8,1,6,9,10,7,2,8
  GM9372,2,0,1,1,3,2,1,1,0,3,4,1
  GM9373,0,4,2,1,2,2,1,3,0,1,0,1
  GM9375,0,0,0,0,1,1,0,0,0,0,0,0
  GM9376,0,0,0,2,1,1,0,0,0,0,0,0
  GM9377,0,0,0,1,2,3,0,0,1,0,0,0
  GM9378,33,23,29,39,16,9,20,17,22,19,10,14
  GM9379,1,1,1,1,2,4,0,0,4,0,1,0
  GM9381,0,0,1,2,1,1,1,0,0,0,0,0
  GM9385,620,1123,2054,756,968,686,225,2537,2542,1108,993,702
  GM9386,0,0,3,2,0,0,1,0,0,0,0,0
  GM9387,1,0,0,0,2,1,0,0,1,1,2,1
  GM9392,37,30,36,62,47,14,25,64,50,58,38,46
  GM9396,21,8,17,5,10,18,9,12,30,6,11,8
  GM9397,0,1,0,0,1,0,0,0,0,0,2,0
  GM9399,0,1,0,0,0,1,1,0,1,0,0,0
  GM94,0,0,0,0,0,0,0,0,0,0,0,0
  GM9402,2,5,5,10,5,3,4,5,4,3,3,1
  GM9403,291,238,169,251,237,185,164,203,328,309,228,309
  GM9408,3,1,2,2,3,1,2,1,2,1,2,3
  GM9409,7,2,8,5,1,3,2,7,3,5,5,3
  GM9415,0,0,0,0,0,4,0,0,0,2,0,0
  GM9419,2,1,4,1,1,1,1,1,1,2,2,0
  GM9423,0,2,0,1,2,1,0,1,2,0,1,0
  GM9427,0,0,0,0,0,0,0,0,0,0,0,0
  GM9428,0,0,0,0,10,6,0,0,0,0,0,0
  GM9429,0,0,1,0,0,1,0,0,1,0,0,1
  GM9430,0,0,0,0,1,0,0,0,0,0,0,0
  GM9431,4,0,0,2,5,4,1,1,1,5,2,1
  GM9432,10,8,3,8,14,5,2,12,3,5,1,11
  GM9434,0,0,0,1,1,0,0,0,0,0,0,1
  GM9435,7,4,10,4,4,3,3,7,10,6,8,4
  GM9436,11,11,55,24,7,4,6,4,17,12,13,7
  GM9439,0,0,0,0,3,1,0,0,1,0,0,0
  GM9440,0,0,0,0,0,0,0,0,0,0,0,1
  GM9442,20,24,24,51,24,24,27,32,31,31,21,25
  GM9443,183,133,64,99,134,125,125,148,169,136,80,116
  GM9445,0,0,0,0,3,4,0,0,0,0,0,0
  GM9449,2,4,2,0,2,3,2,3,4,12,2,9
  GM9451,0,1,0,1,2,0,0,0,1,0,0,0
  GM9457,0,0,0,0,3,2,1,1,2,2,0,3
  GM9458,4,2,0,1,0,7,0,0,1,1,0,0
  GM9463,0,0,1,0,1,0,0,0,1,0,0,0
  GM9476,0,0,0,0,1,1,0,1,0,0,0,0
  GM9480,5,4,4,3,2,7,0,4,5,9,3,3
  GM9493,104,121,101,46,40,10,23,125,99,27,78,70
  GM9495,4,0,0,2,7,5,2,4,0,0,2,2
  GM9496,0,0,1,0,0,3,1,0,0,0,1,0
  GM9497,0,0,1,1,1,0,1,0,0,1,0,0
  GM9498,0,0,0,0,0,0,0,0,0,0,0,0
  GM9499,0,0,0,1,0,0,0,0,1,0,1,0
  GM9504,75,27,14,16,5,9,9,6,32,41,71,68
  GM9506,5,10,3,4,2,2,1,2,4,2,1,9
  GM9507,0,0,0,0,0,4,0,0,0,0,0,0
  GM9513,0,0,0,0,0,0,0,0,0,0,0,0
  GM9515,0,1,0,0,2,2,0,0,0,0,0,0
  GM9516,3,1,1,2,1,1,2,1,4,2,5,0
  GM9517,4,0,0,5,5,0,0,0,8,3,0,4
  GM9519,0,0,0,0,0,1,0,0,0,0,0,0
  GM9521,253,272,162,229,232,209,186,169,359,269,185,288
  GM9522,76,118,24,53,12,31,3,38,3,117,122,93
  GM9523,2,1,8,4,3,1,5,3,2,3,3,4
  GM9529,10,9,6,9,6,7,4,11,10,13,14,11
  GM9531,1426,1487,7983,4259,1734,1361,1299,4928,1958,1173,1164,962
  GM9540,0,0,1,1,2,0,0,0,0,0,0,0
  GM9541,0,0,0,0,0,0,0,0,0,0,0,0
  GM9550,0,0,0,0,0,0,0,0,0,0,0,0
  GM9553,0,0,0,0,1,0,0,0,0,0,0,0
  GM9555,0,0,0,0,0,1,0,1,0,0,0,0
  GM9556,0,0,0,0,0,1,0,0,0,0,0,0
  GM9560,0,0,0,0,2,0,0,2,0,0,0,0
  GM9568,0,2,0,0,3,1,1,1,1,1,1,1
  GM9569,0,0,0,0,0,0,0,0,0,0,0,0
  GM9573,0,0,0,0,9,5,0,2,0,0,0,0
  GM9574,26,33,37,39,46,38,40,46,48,34,25,46
  GM9575,1,1,1,4,4,4,2,3,2,1,0,0
  GM9577,1,0,0,2,1,1,1,1,2,1,1,0
  GM9578,1,0,0,0,0,1,0,1,0,0,0,1
  GM9587,0,1,0,0,0,0,0,0,0,0,0,0
  GM9593,0,0,0,0,2,0,0,0,0,0,0,0
  GM9597,0,0,0,0,2,0,0,0,0,0,0,0
  GM9599,0,0,0,1,0,0,0,0,0,0,0,0
  GM960,11,23,28,35,19,18,32,20,10,11,5,9
  GM9602,0,0,0,0,0,0,0,0,0,0,0,0
  GM9603,0,0,0,0,0,5,0,0,0,0,0,0
  GM9611,0,0,0,0,0,0,0,0,0,0,0,0
  GM9613,1,0,2,1,2,1,0,0,0,1,0,0
  GM9621,0,1,1,1,0,0,0,0,1,0,1,0
  GM9625,41,36,86,65,23,19,35,44,73,40,39,27
  GM9630,0,0,0,0,0,0,0,0,0,0,0,0
  GM9632,3,5,2,5,1,2,0,2,7,1,1,1
  GM9637,0,0,0,0,2,3,0,0,0,0,0,0
  GM9645,69,73,49,55,49,31,54,69,76,76,67,83
  GM9658,3,1,6,3,1,2,1,3,2,1,1,1
  GM9670,36,38,40,70,67,57,46,49,39,48,37,36
  GM9671,0,0,0,0,0,3,0,0,0,0,0,0
  GM9672,0,0,0,0,0,0,0,1,0,0,1,0
  GM9673,10,9,8,8,7,14,7,5,12,11,13,18
  GM9678,0,0,0,0,1,0,0,0,0,0,0,0
  GM9682,0,0,0,0,0,1,0,1,0,0,0,0
  GM9687,0,3,4,3,6,2,2,5,7,1,4,2
  GM9696,19,13,12,12,33,34,9,15,18,21,17,16
  GM9697,23,30,18,38,35,22,16,25,25,26,26,28
  GM9700,0,0,1,1,2,1,0,0,0,0,0,0
  GM9701,4,8,8,9,3,1,1,4,1,7,8,3
  GM9703,9,9,7,8,17,5,0,9,10,9,10,10
  GM9710,2,2,9,11,8,12,1,5,3,4,0,2
  GM9711,3,0,0,0,2,0,1,0,0,0,1,0
  GM9719,64,63,43,67,35,35,32,32,53,65,48,54
  GM9722,16,7,6,15,13,9,10,6,22,9,12,8
  GM9723,0,0,0,0,0,0,0,0,0,0,0,0
  GM9726,48,84,29,55,28,0,19,30,55,21,15,28
  GM9727,17,9,6,10,10,2,6,20,17,10,5,11
  GM9728,32,27,18,25,10,8,20,4,27,28,13,45
  GM9729,0,2,2,3,3,2,0,0,2,2,0,1
  GM973,18,26,17,41,19,40,29,11,29,25,17,38
  GM9732,1,0,0,1,6,5,0,0,0,0,0,0
  GM9733,18,16,7,34,17,15,13,4,35,25,29,18
  GM9742,141,171,156,517,673,649,487,833,313,248,125,190
  GM9745,0,0,4,5,2,0,0,0,0,0,0,0
  GM9747,0,1,0,0,0,0,0,0,0,0,1,0
  GM9755,0,0,0,0,11,16,0,0,6,0,0,0
  GM9758,0,0,0,0,10,11,0,2,0,0,1,0
  GM9761,67,0,480,451,225,178,158,531,21,18,42,0
  GM9762,818,694,685,805,422,306,443,512,886,692,608,625
  GM9765,0,0,0,0,0,1,0,0,0,0,0,0
  GM9767,0,0,0,0,0,0,0,0,0,0,0,0
  GM9769,398,368,1686,1272,403,293,413,691,658,516,454,403
  GM9770,171,125,51,84,67,54,57,89,168,190,134,178
  GM9771,2,1,1,3,8,16,3,3,6,2,3,1
  GM9772,5,5,4,3,1,1,5,1,3,1,5,3
  GM9774,0,0,0,0,6,0,0,0,0,0,0,0
  GM9775,10,8,8,5,6,3,11,13,20,15,8,13
  GM9776,791,626,446,635,522,434,564,532,714,713,473,804
  GM9780,10,12,0,21,14,1,8,7,12,10,10,27
  GM9785,15,14,33,58,33,41,26,32,22,39,17,18
  GM9788,0,1,0,0,2,0,0,0,2,0,0,0
