,null_mock_1,null_mock_2,null_IR_1,null_IR_2,wt_IR_1,wt_IR_2,wt_IR_3,wt_IR_4,wt_mock_1,wt_mock_2,wt_mock_3,wt_mock_4
  ZCCHC7,8573,7395,4946,6407,4329,3579,4773,5552,9484,8479,6284,7543
  ZCCHC8,1821,1501,2066,2135,1052,869,1394,1455,2071,1688,1256,1667
  ZCCHC9,1151,1045,1450,1659,770,589,965,1090,1220,1077,856,1018
  ZCCHC9-PS,0,0,0,2,1,0,0,0,0,0,0,0
  ZCRB1,1411,1360,1665,2157,1121,871,1157,1266,1739,1464,1036,1540
  ZCWPW1,1129,1007,1849,2058,864,756,995,988,953,882,602,928
  ZCWPW2,19,18,24,23,17,20,24,29,26,33,12,30
  ZDBF2,3,2,2,1,7,11,1,2,2,1,2,0
  ZDHHC1,62,66,60,106,144,115,168,186,99,103,56,86
  ZDHHC11,1,1,0,1,1,3,0,1,0,0,1,0
  ZDHHC12,360,339,309,438,208,135,218,287,433,358,227,342
  ZDHHC13,1732,1581,3055,3171,1029,785,1746,1639,2213,1553,1369,1462
  ZDHHC14,720,638,297,309,224,156,245,223,865,739,497,808
  ZDHHC15,50,20,46,56,30,28,26,20,48,48,33,36
  ZDHHC16,694,640,1065,1063,339,252,480,509,790,616,520,615
  ZDHHC17,2530,2432,2910,3343,1435,1078,1932,2084,2684,2247,1685,2205
  ZDHHC18,6926,5892,5617,5266,3461,2815,3895,4830,6900,6837,4609,7319
  ZDHHC19,47,35,30,37,17,23,22,19,34,46,29,55
  ZDHHC2,238,167,115,177,143,112,132,117,350,230,218,292
  ZDHHC20,5352,4659,1952,2284,1468,1212,1321,1332,4977,4474,3643,4773
  ZDHHC21,5668,5154,4919,5650,4470,4202,4270,5386,6103,5657,4349,5822
  ZDHHC22,6,2,14,18,23,23,3,2,4,11,1,5
  ZDHHC23,163,157,161,218,51,54,71,80,243,173,121,200
  ZDHHC24,534,487,397,476,283,199,326,410,582,499,399,545
  ZDHHC25,0,0,0,0,0,1,0,0,1,1,0,1
  ZDHHC3,2336,2283,4292,4856,1570,1110,2095,2128,2786,2163,1828,2152
  ZDHHC4,853,855,1009,1203,536,380,699,839,992,785,614,793
  ZDHHC5,3019,2906,4547,4624,1972,1388,2098,2415,4048,3275,2464,3148
  ZDHHC6,1268,1236,2373,2546,971,690,1266,1334,1565,1266,999,1070
  ZDHHC7,1329,1199,1412,1390,756,516,807,1001,1589,1312,1032,1165
  ZDHHC8,917,860,740,808,450,309,458,563,856,897,596,916
  ZDHHC9,996,843,580,705,402,315,376,478,1020,912,765,1066
  ZEB1,4091,3695,3776,4286,3018,2561,3386,3660,4416,4095,2963,3892
  ZEB2,8848,8664,3438,7198,4788,3143,3840,3802,9617,8329,6561,9727
  ZER1,3214,2906,1039,1555,1265,885,1461,1637,3138,2999,2006,3296
  ZFA-PS,55,44,47,65,60,35,45,63,69,51,30,41
  ZFAND1,954,958,891,1198,684,462,857,1077,1099,1035,688,897
  ZFAND2A,568,535,895,823,542,384,800,832,620,526,416,526
  ZFAND2B,652,581,458,468,199,143,270,331,765,573,473,546
  ZFAND3,1187,1186,1090,1224,837,600,708,805,1465,1273,977,1194
  ZFAND4,61,61,45,53,53,42,68,46,103,68,61,59
  ZFAND5,3609,3415,3331,3425,1230,774,1677,1696,3622,3267,2579,3415
  ZFAND6,3163,2900,1912,1894,952,600,1311,1435,3403,3060,2379,2624
  ZFAS1,2160,2076,3575,5066,1698,1257,2803,2839,2514,2000,1607,1765
  ZFAT,603,469,595,556,354,308,409,505,612,560,406,484
  ZFC3H1,8472,7514,8075,9312,6249,5011,7843,8788,9523,8586,5820,7773
  ZFHX2,1369,1061,638,720,782,612,737,853,1376,1575,864,1591
  ZFHX3,440,336,133,303,379,304,249,195,360,391,320,567
  ZFHX4,5,3,0,2,14,23,1,0,0,1,5,0
  ZFP-PS,14,15,16,15,18,14,17,17,23,14,7,22
  ZFP1,798,768,1059,957,790,799,534,539,927,747,611,717
  ZFP101,5769,3937,4721,4112,3117,2255,2626,2378,5387,4848,4052,3977
  ZFP105,26,26,14,40,19,23,29,25,31,26,30,22
  ZFP106,11411,10961,15321,17522,9540,7184,10352,11802,14095,11468,8865,11579
  ZFP108,17,22,11,21,21,11,13,16,24,15,24,13
  ZFP109,75,92,100,125,50,50,64,68,106,85,76,65
  ZFP11,393,367,237,463,288,255,260,268,432,363,272,411
  ZFP110,3175,2946,4134,4077,2013,1634,2543,3000,3970,3158,2535,2553
  ZFP111,278,277,187,261,252,216,259,217,285,288,173,309
  ZFP112,66,72,46,122,63,48,51,63,101,59,44,69
  ZFP113,1616,1424,1386,1864,1273,1092,1322,1410,1697,1555,1105,1640
  ZFP114,45,37,21,28,26,28,25,30,28,27,13,26
  ZFP119A,796,738,666,979,410,298,641,604,895,742,606,686
  ZFP119B,385,385,348,481,231,163,312,344,428,397,263,272
  ZFP12,1740,1605,2156,2005,1196,926,1406,1647,1973,1753,1300,1550
  ZFP120,1849,1738,2229,2199,1180,800,1474,1565,2371,1831,1553,1627
  ZFP125,1231,1064,1304,1242,1163,969,1414,1536,1394,1250,945,1147
  ZFP128,345,327,320,385,251,145,290,377,415,344,242,333
  ZFP13,8,11,0,7,14,11,8,12,12,4,4,4
  ZFP131,2512,2447,5304,5080,1729,1345,2154,2277,2828,2291,1835,2219
  ZFP133-PS,15,13,11,20,11,9,11,12,19,13,7,4
  ZFP14,219,176,226,235,115,93,147,186,244,202,156,186
  ZFP141,1024,1026,1104,1178,703,515,796,806,1434,1099,923,1028
  ZFP142,2424,2111,2413,2714,1445,1065,1415,1712,2639,2518,1641,2554
  ZFP143,1536,1494,2087,2459,1183,959,1177,1405,1966,1414,1107,1325
  ZFP146,1779,1695,2676,3399,1702,1220,1744,1986,2288,1918,1442,1747
  ZFP148,6013,5564,8027,7622,3597,2556,4197,4717,7047,5763,4501,5479
  ZFP157,1560,1428,1526,1706,834,689,1023,1295,1680,1451,1121,1303
  ZFP160,1705,1495,1958,2067,880,618,1068,1168,1860,1535,1220,1417
  ZFP169,2017,1723,1793,1890,1261,998,1440,1591,2131,1798,1427,1837
  ZFP174,283,301,158,209,171,113,147,202,324,242,180,300
  ZFP180,1703,1616,2047,2171,1067,880,1316,1464,1810,1636,1231,1613
  ZFP182,1941,1899,1258,1648,974,750,1110,1295,2301,2059,1539,1826
  ZFP184,41,35,54,100,29,28,52,44,56,60,28,39
