User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000002885,13.2051,13.2481,13.0467,13.309,12.5507,12.7359,12.6349,12.8257,13.0426,13.1142,12.729,12.6954
 ENSMUSG00000031971,7.6681,7.6824,7.2624,7.6817,7.5222,7.4713,7.1174,7.1248,7.844,7.7451,7.4548,7.1216
 ENSMUSG00000029471,10.8076,11.0473,10.9738,11.452,10.6798,10.6263,10.8885,10.9551,11.2547,11.4185,11.1391,11.0315
 ENSMUSG00000028969,9.144,9.2524,9.1891,9.0717,8.7143,8.5034,9.0915,9.2279,9.3449,9.1508,9.0021,8.6697
 ENSMUSG00000001786,9.9901,10.0252,10.0559,10.1759,9.438,9.6637,9.9112,9.8263,10.0716,10.0928,10.4917,10.0035
 ENSMUSG00000041025,8.0869,8.2024,8.2763,8.3958,8.0465,7.8719,8.0018,7.7557,8.2232,8.2224,7.4453,7.9426
 ENSMUSG00000090584,5.3053,5.6103,5.7053,5.8644,5.1287,5.4635,5.1443,5.1907,5.8081,5.2889,5.3194,5.2508
 ENSMUSG00000028530,13.8306,13.9403,13.8152,13.9697,13.46,13.5847,13.4068,13.4806,13.8978,13.8694,13.3979,13.2008
 ENSMUSG00000020128,11.7794,11.7694,11.7521,11.8619,11.2768,11.3681,11.6118,11.4579,11.8778,12.0807,12.1185,11.6364
 ENSMUSG00000029616,12.1599,12.0692,12.1721,12.1656,11.8664,11.7494,12.0488,12.1871,12.2338,12.3067,12.827,12.1451
 ENSMUSG00000038605,8.7723,8.7897,8.5263,9.0982,8.3313,8.2492,8.4075,8.7446,8.7764,9.0376,8.7468,8.6405
 ENSMUSG00000039774,9.2624,9.2814,9.2178,9.2458,8.8123,8.5034,8.6522,8.8359,9.2097,9.0638,9.0494,8.9059
 ENSMUSG00000021725,10.5338,10.5924,10.4905,10.6536,10.1686,10.2543,10.077,10.3472,10.6231,10.7251,9.9711,10.0803
 ENSMUSG00000031447,12.43,12.2923,12.587,12.1449,12.1924,11.7916,12.4237,12.3866,12.1538,12.2626,12.851,12.3922
 ENSMUSG00000080877,5.488,5.2654,5.6199,5.239,5.0072,5.0135,5.2561,5.386,5.5881,5.6154,5.8731,5.2825
 ENSMUSG00000030703,6.7143,6.9532,6.6237,7.1996,6.6692,6.6392,6.1903,6.6793,6.9183,7.0547,6.8004,6.6085
 ENSMUSG00000076939,11.854,11.7249,11.6514,11.7865,11.2854,11.2089,11.6435,11.833,11.9338,12.0227,12.0063,11.8863
 ENSMUSG00000022014,11.6199,11.412,11.6235,11.4265,11.3236,11.2498,11.2931,11.2571,11.4453,11.7126,10.7577,11.0903
 ENSMUSG00000031708,10.5218,10.4172,10.389,10.3868,10.2246,9.9984,10.344,10.6119,10.5696,10.6812,10.9831,10.7623
