genes,WTvsMu_lfc,WTvsMu_FDR,IRvsMock_lfc,IRvsMock_FDR,Interaction_lfc,Interaction_FDR
Dlgap1,-0.071783084,0.999574161,1.397663112,0.034428172,0.473897388,0.685076574
Plag1,-0.823591064,0.299255015,-0.302527437,0.542643255,0.332841466,0.637406441
Hck,-0.14789565,0.999574161,-0.941832512,4.80993E-05,0.195643393,0.649070585
Keap1,-0.012396625,0.999574161,0.414249068,0.035528914,-0.696003592,0.005605812
Ap1m2,-0.251836166,0.999574161,-1.936706217,4.85956E-06,0.352673255,0.663320704
Atp8b3,1.128337641,0.999574161,5.141594444,0.000309642,-1.168674438,0.633374228
Abhd17a,-0.212527891,0.999574161,0.466321984,0.229902923,-1.056900874,0.022939308
Fkbp11,0.761355558,0.999574161,-0.435197621,0.640004885,-0.064509467,0.965371332
Pld3,0.495248655,0.649075168,-0.792699325,0.005308809,0.11448423,0.839199875
Cd79a,-0.102080067,0.999574161,-0.676824324,0.002417892,-0.225201943,0.561230114
Rabac1,-0.074168071,0.999574161,-0.45103434,0.155144219,-0.416568122,0.364014541
Elavl3,0.079909226,0.999574161,0.336071135,0.780303327,0.999151333,0.464802033
Rab3b,-0.339088026,0.999574161,0.484038077,0.76930563,1.33974816,0.48260501
St8sia6,0.606898624,0.276131147,2.543861458,2.29682E-23,-1.156081971,0.001238406
Fcgrt,0.122064475,0.999574161,-1.419704309,2.14847E-07,-0.011436741,0.985582469
Timm50,-0.042871896,0.999574161,1.897882276,1.12482E-18,-1.064285788,0.000358864
Med29,-0.205711893,0.999574161,1.336276436,1.36743E-06,-0.782794568,0.053555571
Phyhip,2.324847183,0.917675078,0.733705341,0.772083626,-1.349292412,NA
Crhr2,-0.04572453,0.999574161,0.224321844,0.976874676,5.760067838,NA
Cyp4f18,-0.165638672,0.999574161,-1.902776764,7.39184E-19,0.437139176,0.207412447
Ier3,0.624275764,0.999574161,1.302370122,0.16378067,0.050851596,0.978339174
Fosb,-0.458245492,0.999574161,-0.526981235,0.466825835,0.408567698,0.707008374
Klc4,-0.185077764,0.999574161,-1.267427823,4.67034E-13,0.732853098,0.002921585
As3mt,0.156806084,0.999574161,0.651129994,0.003678363,-0.704326964,0.020568656
Homer3,-0.266287625,0.999574161,-0.217225091,0.684750009,2.636038549,1.49841E-08
Sec14l2,0.782327796,0.999574161,0.474403449,0.638296907,-0.241522757,0.870955782
Aven,0.09275492,0.999574161,1.915223503,3.25736E-16,-0.464173869,0.223554354
Cp,0.168569254,0.999574161,-0.634801621,0.115672313,0.203053365,0.772871116
Man1a,0.174885173,0.999574161,-0.085649982,0.715297699,-0.397180461,0.098210136
Kif20a,0.397326231,0.999574161,0.687666168,0.111192332,-1.008689475,0.072257199
Gcdh,-0.023342433,0.999574161,0.14254704,0.790350787,3.688860201,1.80808E-18
Syce2,0.23131963,0.999574161,1.812129983,1.04849E-09,0.188263281,0.752551029
Nqo1,0.564973345,0.999574161,1.143997615,0.294722948,-0.540136557,0.76127014
Gys1,-0.054390918,0.999574161,-0.310819578,0.25326461,-0.14432171,0.750221255
Ruvbl2,-0.058683154,0.999574161,2.297045238,1.11857E-19,-1.171496262,0.000894822
Bax,0.08116973,0.999574161,1.231090793,4.14312E-05,2.177900862,4.99835E-09
Efnb3,-0.232591751,0.999574161,1.582133761,0.01276469,0.22089965,0.860014589
Fam162a,0.123361706,0.999574161,2.570746161,4.32366E-23,-0.637898786,0.114526783
Gstm5,1.407953908,0.76187745,-0.239490733,0.869910113,-1.643535166,0.24299174
Cavin1,-0.597917077,0.999574161,-0.654724708,0.599952294,1.070439114,0.504375848
Col5a3,-1.09777468,0.872308815,-3.168964028,2.31466E-05,0.806176109,0.551197517
Ppan,-0.125910075,0.999574161,2.648312489,8.89216E-61,-0.658310977,0.004616013
Angptl2,-0.216469842,0.999574161,-1.903329982,2.53388E-06,1.24452447,0.030467093
Cacna1e,0.230464017,0.999574161,-1.843565867,2.52015E-12,0.486526952,0.256631567
Cacna1b,-0.205407368,0.999574161,0.155346544,0.828298581,2.196344675,0.000203534
Etv1,0.363711024,0.999574161,-1.287629156,0.04925979,0.664394371,0.528968713
Kifc2,-0.174615863,0.999574161,-1.285849104,0.000236203,0.934210565,0.061362876
Psap,0.341183709,0.675624227,-0.827678706,1.32298E-05,-0.024673248,0.95324521
Pax2,0.675606981,0.999574161,0.224303412,0.974915947,5.137831156,NA
Phb2,-0.257487996,0.999574161,1.334545767,1.31021E-09,-0.62143315,0.056183603
Ptpn6,-0.081077423,0.999574161,0.773051938,1.01968E-05,-1.003981845,8.93144E-06
Emg1,-0.161113423,0.999574161,1.375225279,1.26409E-06,-0.807521449,0.050522906
Atp6v1f,-0.198959375,0.999574161,0.54666607,0.122921386,-0.473241343,0.35936563
Hif3a,0.097529533,0.999574161,-0.311874383,0.501164243,0.027700829,0.972143486
Utp20,-0.032247806,0.999574161,2.544393075,5.82443E-30,0.405102529,0.278403464
Ddx56,-0.216527828,0.999574161,1.929243117,2.14118E-15,-0.633297835,0.087623525
Bid,0.100213163,0.999574161,1.825903802,1.91779E-14,-0.971264185,0.003967271
Gab2,0.214145298,0.999574161,-0.540326028,0.225838213,0.217215004,0.771170517
Ctse,0.008985793,0.999574161,-1.675419752,9.1271E-09,1.283062302,0.001268106
Arhgef18,-0.228868226,0.999574161,-2.345272823,3.71038E-25,1.47114954,9.46303E-07
Nkg7,0.319230732,0.999574161,-0.472754521,0.495803008,0.900243054,0.291076407
Slbp,-0.030276691,0.999574161,0.640464131,0.003133259,-0.749930012,0.009814536
Aqp1,2.222377631,0.050025881,-0.350756561,0.766024165,-2.630082991,0.017018103
Cnn2,-0.115712608,0.999574161,-0.984560078,1.68854E-07,-0.147730222,0.685268064
Abca13,0.801317899,0.999574161,0.241030603,0.818401375,-0.25942788,0.850949385
Hdac9,-0.231150915,0.999574161,-0.247816123,0.385452826,-0.03054731,0.951893981
Adgre1,0.44321735,0.872308815,-0.201526546,0.617485483,-0.507858851,0.277720657
Mtfp1,0.233192458,0.999574161,2.858527147,7.04938E-12,-1.438509803,0.016726392
Pgf,-0.207849089,0.999574161,-0.429391858,0.828298581,3.69647283,0.031086962
Ulk2,-0.03736051,0.999574161,-0.396238119,0.044834456,0.129468327,0.712489098
Ccl24,0.649140604,0.89576735,-0.592431648,0.284583074,0.282624745,0.753741718
Grap,-0.13254908,0.999574161,1.661162559,8.1526E-19,-0.267858957,0.413479607
Pou1f1,-0.101785732,0.999574161,-0.166284468,0.944440182,3.447962428,0.054170612
Ap1s1,0.165991658,0.999574161,-0.177430396,0.629276861,-0.318495747,0.493334061
Lbr,-0.203965348,0.999574161,-0.078382807,0.84458345,-0.126060404,0.799736943
Nes,-0.437595475,0.999574161,0.310216455,0.828543452,1.77892059,0.205370962
Hdgf,0.098873617,0.999574161,2.622177939,1.24871E-33,-1.181137348,6.76966E-05
Thop1,-0.018406904,0.999574161,3.204806833,1.67505E-31,-1.422788275,0.000173861
Matk,-0.254663009,0.999574161,-0.617892871,0.003106614,0.304022753,0.364014541
Map2k1,-0.086651012,0.999574161,0.375326255,0.280015615,-0.512307409,0.266569495
Hspb1,-0.204378768,0.999574161,1.834959815,0.274312429,-0.158013202,0.959635107
Fxyd4,0.051566481,0.999574161,1.812200362,0.003080956,-0.154919351,0.900517657
Prkacb,-0.07893041,0.999574161,-0.257913362,0.276165229,-0.410911571,0.17547701
Sgsh,-0.062090215,0.999574161,-1.373062416,3.29673E-09,0.464660206,0.207411103
Wdr1,-0.145118632,0.999574161,0.031304521,0.942183515,-0.17323876,0.687920285
Slc2a9,-0.144565506,0.999574161,-1.57823655,2.49076E-08,4.045321766,1.05143E-33
Ndrg1,-0.233117138,0.999574161,-1.63168358,2.47537E-05,0.991749173,0.079396761
4930550C14Rik,1.000905349,0.999574161,1.623939611,0.151045654,0.853577969,0.624641476
Prdx2,-0.109276542,0.999574161,0.601630781,0.078291146,-0.661758169,0.157241305
Corin,-0.22156151,0.999574161,-0.118026762,0.912246074,0.012028267,0.991959035
Spc25,0.333448103,0.999574161,0.941868061,0.029091758,2.330219998,5.28174E-06
Dnah2,0.072448968,0.999574161,-0.370257409,0.677181617,1.780830198,0.043828531
Fgfr4,-0.801655586,0.999574161,1.013595274,0.552256125,0.597528647,0.818342135
Crbn,-0.184577225,0.999574161,-0.023093281,0.943331669,-0.205787471,0.483277564
Il5ra,-0.323234428,0.819239543,-1.415154227,1.23052E-12,0.678311101,0.018146561
Msh6,0.025632738,0.999574161,1.130607967,0.000111738,1.235270732,0.001588315
Tbl2,-0.017003237,0.999574161,1.188584802,1.46848E-11,-1.017396536,1.50859E-05
Nid1,0.328625032,0.999574161,-0.251866794,0.514092647,-0.636486334,0.153241119
Mcm5,0.117803756,0.999574161,1.955780897,3.2665E-11,-1.557309426,8.40359E-05
Hmox1,0.973056438,0.392679938,-0.590097688,0.290372573,0.856023744,0.241784083
Pafah1b3,-0.380538868,0.999574161,-1.743174543,1.68278E-07,0.819347445,0.101706583
Il27ra,-0.051305729,0.999574161,-0.443830479,0.014650149,-0.090798277,0.789854444
Prkaca,0.01171592,0.999574161,-0.080388345,0.846844161,-0.140969417,0.783504195
Asf1b,0.343562419,0.999574161,1.124196219,0.01176891,-1.591835798,0.006480605
Ddx39a,-0.124808773,0.999574161,1.483700537,1.66651E-09,-0.840919149,0.016722998
Dnajb1,-0.037811247,0.999574161,1.41348365,0.00344729,-1.3343357,0.046514789
